City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,82.4,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
4,Nanakuli,US,82.4,few clouds,21.39,-158.15,Camp Pālehua
8,Sarankhola,BD,79.65,overcast clouds,22.31,89.79,ইসা ষ্টোর
9,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
13,Hobyo,SO,79.0,moderate rain,5.35,48.53,Osmani Hotel
14,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
16,Hua Hin,TH,78.66,light rain,12.57,99.96,InterContinental Hua Hin Resort
21,Vanimo,PG,77.9,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
22,Lorengau,PG,81.84,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
23,Broken Hill,AU,77.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
25,Castro,BR,75.88,overcast clouds,-24.79,-50.01,CHACARA BAILLY
27,Butaritari,KI,81.36,overcast clouds,3.07,172.79,Isles Sunset Lodge
32,Tuy Hoa,VN,77.36,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
43,Atuona,PF,78.35,light rain,-9.8,-139.03,Villa Enata
44,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
48,Faanui,PF,78.3,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
52,Nicoya,CR,77.0,drizzle,10.15,-85.45,Guayacan Real
55,Kapaa,US,84.2,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Am Timan,TD,77.11,broken clouds,11.03,20.28,
67,Gat,IL,77.0,clear sky,31.61,34.76,OlusHome
68,Gushikawa,JP,77.0,broken clouds,26.35,127.87,Kirari Guest House
70,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
73,Mogadishu,SO,78.8,scattered clouds,2.04,45.34,Hotel Juba
76,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
78,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
87,Takoradi,GH,76.66,clear sky,4.88,-1.76,Raybow International Hotel
95,Bandarbeyla,SO,78.01,few clouds,9.49,50.81,REER XOOSHLE GROUP
97,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
100,Price,US,75.2,clear sky,39.6,-110.81,National 9 - Price River Inn
103,Pascagoula,US,78.8,clear sky,30.37,-88.56,Regency Inn
104,Sao Cristovao,BR,82.4,scattered clouds,-11.01,-37.21,Vó Nazinha Hostel
105,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
107,Fare,PF,79.07,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
111,Ormara,PK,86.79,clear sky,25.21,64.64,
122,Port Keats,AU,79.43,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
124,Locri,IT,79.0,overcast clouds,38.24,16.26,Grand Hotel President
127,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
