City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,50.0,93,90,8.05,moderate rain
1,Hilo,US,19.73,-155.09,82.4,61,1,4.7,clear sky
2,Bambous Virieux,MU,-20.34,57.76,69.8,88,40,1.12,scattered clouds
3,Khatanga,RU,71.97,102.5,17.6,98,81,10.89,broken clouds
4,Nanakuli,US,21.39,-158.15,82.4,78,20,4.7,few clouds
5,Tongren,CN,27.72,109.19,62.56,89,100,4.56,light rain
6,Saldanha,ZA,-33.01,17.94,60.8,77,0,4.7,clear sky
7,Mataura,NZ,-46.19,168.86,50.0,96,100,18.99,light rain
8,Sarankhola,BD,22.31,89.79,79.65,89,93,3.33,overcast clouds
9,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
10,Leningradskiy,RU,69.38,178.42,31.03,95,100,11.9,overcast clouds
11,Katete,UG,-0.78,29.75,66.31,74,92,2.06,overcast clouds
12,Coquimbo,CL,-29.95,-71.34,59.0,58,100,14.99,overcast clouds
13,Hobyo,SO,5.35,48.53,79.0,84,50,17.45,moderate rain
14,Limbang,MY,4.75,115.0,77.0,94,75,4.7,broken clouds
15,Punta Arenas,CL,-53.15,-70.92,48.2,57,75,29.97,broken clouds
16,Hua Hin,TH,12.57,99.96,78.66,85,100,6.71,light rain
17,Mount Gambier,AU,-37.83,140.77,55.4,93,90,5.82,light intensity shower rain
18,Port Alfred,ZA,-33.59,26.89,61.7,84,67,19.6,light rain
19,Saint-Philippe,RE,-21.36,55.77,73.4,78,75,17.22,broken clouds
20,Busselton,AU,-33.65,115.33,48.99,63,100,8.97,overcast clouds
21,Vanimo,PG,-2.67,141.3,77.9,87,52,6.42,broken clouds
22,Lorengau,PG,-2.02,147.27,81.84,75,28,7.72,scattered clouds
23,Broken Hill,AU,-31.95,141.43,77.0,25,79,14.99,broken clouds
24,Dryden,CA,49.78,-92.75,41.0,52,90,2.24,overcast clouds
25,Castro,BR,-24.79,-50.01,75.88,65,100,11.3,overcast clouds
26,Hami,CN,42.8,93.45,53.38,34,66,4.52,broken clouds
27,Butaritari,KI,3.07,172.79,81.36,71,99,10.2,overcast clouds
28,La Quinta,US,33.66,-116.31,102.0,22,1,6.93,clear sky
29,Torbay,CA,47.67,-52.73,64.0,93,75,18.34,broken clouds
30,Ahipara,NZ,-35.17,173.17,52.5,77,0,2.93,clear sky
31,Kaitangata,NZ,-46.28,169.85,53.01,82,100,18.01,moderate rain
32,Tuy Hoa,VN,13.08,109.3,77.36,90,100,5.57,moderate rain
33,Berlevag,NO,70.86,29.09,47.7,80,39,23.55,scattered clouds
34,Port Elizabeth,ZA,-33.92,25.57,60.8,93,97,11.41,light rain
35,Praia Da Vitoria,PT,38.73,-27.07,72.0,88,75,16.71,broken clouds
36,Ushuaia,AR,-54.8,-68.3,46.4,73,40,17.22,scattered clouds
37,Miles City,US,46.41,-105.84,66.2,32,1,10.29,clear sky
38,Stafford,GB,52.81,-2.12,48.99,85,100,11.99,light rain
39,Rikitea,PF,-23.12,-134.97,72.72,77,0,17.78,clear sky
40,Hermanus,ZA,-34.42,19.23,59.0,86,4,5.99,clear sky
41,Altamira,BR,-3.2,-52.21,96.69,35,98,2.59,overcast clouds
42,Chama,CH,47.18,8.46,50.0,81,20,2.24,few clouds
43,Atuona,PF,-9.8,-139.03,78.35,76,18,25.68,light rain
44,Oranjestad,AW,12.52,-70.03,86.0,79,40,14.99,scattered clouds
45,Barranca,PE,-10.75,-77.77,65.82,73,40,13.09,scattered clouds
46,Tigre,AR,-34.43,-58.58,53.6,50,40,19.46,scattered clouds
47,Airai,TL,-8.93,125.41,57.11,92,98,2.59,overcast clouds
48,Faanui,PF,-16.48,-151.75,78.3,77,5,19.6,clear sky
49,Lagoa,PT,39.05,-27.98,68.79,86,45,17.72,scattered clouds
50,Hambantota,LK,6.12,81.12,78.8,88,20,9.17,few clouds
51,Ostersund,SE,63.18,14.64,50.0,81,100,11.41,overcast clouds
52,Nicoya,CR,10.15,-85.45,77.0,100,75,2.24,drizzle
53,College,US,64.86,-147.8,57.2,70,75,3.36,broken clouds
54,Bethanien,NA,-26.5,17.16,52.14,43,0,3.87,clear sky
55,Kapaa,US,22.08,-159.32,84.2,74,40,4.7,scattered clouds
56,Tuktoyaktuk,CA,69.45,-133.04,42.8,93,90,8.05,shower rain
57,Carnarvon,AU,-24.87,113.63,57.2,54,0,23.04,clear sky
58,Am Timan,TD,11.03,20.28,77.11,76,72,1.66,broken clouds
59,Bluff,NZ,-46.6,168.33,50.0,96,100,18.99,light rain
60,Dergachi,RU,51.23,48.77,55.65,59,0,6.87,clear sky
61,Iqaluit,CA,63.75,-68.51,33.8,69,90,6.93,overcast clouds
62,Kaeo,NZ,-35.1,173.78,46.99,95,0,4.0,clear sky
63,Cape Town,ZA,-33.93,18.42,64.0,72,20,3.36,few clouds
64,Chalchihuites,MX,23.48,-103.88,68.13,28,0,11.01,clear sky
65,Bredasdorp,ZA,-34.53,20.04,60.8,87,82,9.17,broken clouds
66,Mandalgovi,MN,45.76,106.27,22.78,83,0,11.83,clear sky
67,Gat,IL,31.61,34.76,77.0,71,0,4.41,clear sky
68,Gushikawa,JP,26.35,127.87,77.0,88,75,5.82,broken clouds
69,Mao,ES,39.89,4.27,66.2,45,20,10.29,few clouds
70,Arraial Do Cabo,BR,-22.97,-42.03,77.0,88,40,6.93,scattered clouds
71,Mar Del Plata,AR,-38.0,-57.56,48.99,52,75,10.29,broken clouds
72,Yellowknife,CA,62.46,-114.35,50.0,76,75,20.8,broken clouds
73,Mogadishu,SO,2.04,45.34,78.8,86,48,17.78,scattered clouds
74,London,GB,51.51,-0.13,57.2,82,100,8.05,light rain
75,Ilulissat,GL,69.22,-51.1,33.8,69,40,4.7,scattered clouds
76,Hithadhoo,MV,-0.6,73.08,83.3,74,100,11.77,light rain
77,Bethel,US,41.37,-73.41,64.4,42,20,8.05,few clouds
78,Avarua,CK,-21.21,-159.78,77.0,69,67,9.17,broken clouds
79,Teodoro Sampaio,BR,-22.53,-52.17,101.61,18,92,3.94,overcast clouds
80,Albany,US,42.6,-73.97,60.01,64,95,8.12,light rain
81,Saskylakh,RU,71.92,114.08,21.43,96,95,12.21,overcast clouds
82,Barrow,US,71.29,-156.79,33.8,96,90,5.82,mist
83,Tasiilaq,GL,65.61,-37.64,30.2,92,20,6.93,fog
84,Ribeira Grande,PT,38.52,-28.7,69.8,83,40,10.29,scattered clouds
85,Fortuna,US,40.6,-124.16,62.6,82,20,3.36,few clouds
86,Clyde River,CA,70.47,-68.59,26.6,86,90,2.24,overcast clouds
87,Takoradi,GH,4.88,-1.76,76.66,87,0,7.85,clear sky
88,Umm Kaddadah,SD,13.6,26.69,95.05,24,40,7.25,scattered clouds
89,Kalamb,IN,19.05,73.95,74.46,77,99,3.58,overcast clouds
90,Ulaangom,MN,49.98,92.07,32.09,88,1,2.68,clear sky
91,Victoria Point,AU,-27.58,153.3,60.8,82,40,8.05,scattered clouds
92,Sitka,US,57.05,-135.33,53.6,87,75,8.05,mist
93,Rundu,NA,-17.93,19.77,77.81,19,17,1.92,few clouds
94,Kodiak,US,57.79,-152.41,48.2,81,20,9.17,few clouds
95,Bandarbeyla,SO,9.49,50.81,78.01,86,11,10.54,few clouds
96,Nome,US,64.5,-165.41,46.99,87,90,5.82,light rain
97,Erzin,TR,36.96,36.2,78.01,73,0,1.72,clear sky
98,Vostok,RU,46.49,135.88,37.35,99,0,6.49,clear sky
99,Klaksvik,FO,62.23,-6.59,48.2,100,100,6.93,light intensity drizzle
100,Price,US,39.6,-110.81,75.2,16,1,8.05,clear sky
101,Sitio Novo Do Tocantins,BR,-5.52,-47.46,98.89,25,94,5.48,overcast clouds
102,Ponta Do Sol,PT,32.67,-17.1,71.6,78,40,12.75,scattered clouds
103,Pascagoula,US,30.37,-88.56,78.8,34,1,9.17,clear sky
104,Sao Cristovao,BR,-11.01,-37.21,82.4,58,25,11.41,scattered clouds
105,Maceio,BR,-9.67,-35.74,80.6,74,75,13.87,broken clouds
106,Haines Junction,CA,60.75,-137.51,45.68,72,100,9.26,overcast clouds
107,Fare,PF,-16.7,-151.02,79.07,75,0,18.39,clear sky
108,Taoudenni,ML,22.68,-3.98,97.97,15,0,7.16,clear sky
109,Portland,US,45.52,-122.68,62.6,77,75,4.7,broken clouds
110,Atar,MR,20.52,-13.05,92.05,20,0,11.56,clear sky
111,Ormara,PK,25.21,64.64,86.79,39,0,14.83,clear sky
112,Launceston,AU,-41.45,147.17,55.0,93,90,2.08,light rain
113,Aleksandrov Gay,RU,50.15,48.57,56.73,54,8,5.86,clear sky
114,Reinosa,ES,43.0,-4.14,57.0,78,37,1.99,scattered clouds
115,Stony Brook,US,40.93,-73.14,68.0,45,75,5.82,broken clouds
